Id,MSSubClass,LotFrontage,LotArea,Street,BldgType,OverallQual,YearBuilt,TotalBsmtSF,FullBath,HalfBath,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
255,20,70,8400,Pave,1Fam,5,1957,1314,1,0,0,NA,Attchd,1957,RFn,1,294,145000
256,60,66,8738,Pave,1Fam,7,1999,975,2,1,1,TA,BuiltIn,1999,Fin,2,429,230000
257,60,64,8791,Pave,1Fam,6,2003,864,2,1,0,NA,Attchd,2003,RFn,2,673,207500
258,20,68,8814,Pave,1Fam,7,2006,1604,2,1,1,Gd,Attchd,2006,RFn,2,660,220000
259,60,80,12435,Pave,1Fam,7,2001,963,2,1,1,TA,Attchd,2001,RFn,2,564,231500
260,20,70,12702,Pave,1Fam,5,1956,0,1,0,0,NA,Detchd,1956,Unf,1,308,97000
261,80,120,19296,Pave,1Fam,6,1962,1362,1,0,1,TA,Attchd,1991,Unf,2,884,176000
262,60,69,9588,Pave,1Fam,8,2007,1482,2,1,1,Gd,BuiltIn,2007,Fin,3,868,276000
263,80,88,8471,Pave,1Fam,6,1977,506,1,0,1,TA,Attchd,1978,Unf,2,492,151000
264,50,50,5500,Pave,1Fam,5,1929,926,1,0,0,NA,Detchd,1974,Unf,2,484,130000
265,30,30,5232,Pave,1Fam,5,1925,680,1,0,0,NA,Detchd,1965,Unf,2,504,73000
266,20,78,12090,Pave,1Fam,6,1981,1422,2,0,1,TA,Attchd,1981,Fin,2,576,175500
267,60,70,11207,Pave,1Fam,6,1997,802,2,1,1,TA,Attchd,1997,Fin,2,413,185000
268,75,60,8400,Pave,1Fam,5,1939,720,2,1,1,Gd,Detchd,1939,Unf,1,240,179500
269,30,71,6900,Pave,1Fam,5,1940,740,1,0,1,Gd,Detchd,1966,Fin,1,924,120500
270,20,NA,7917,Pave,1Fam,6,1976,1143,1,1,1,Fa,Attchd,1987,RFn,1,504,148000
271,60,84,10728,Pave,1Fam,8,2006,1095,2,1,1,Gd,Attchd,2006,RFn,3,1053,266000
272,20,73,39104,Pave,1Fam,7,1954,1385,1,0,2,TA,Attchd,1954,Unf,2,439,241500
273,60,92,11764,Pave,1Fam,8,1999,1152,2,1,1,Gd,Attchd,1999,Fin,3,671,290000
274,20,80,9600,Pave,1Fam,6,1958,1240,2,0,1,Gd,Attchd,1958,RFn,1,338,139000
275,20,76,8314,Pave,1Fam,5,1982,816,1,0,0,NA,Attchd,1982,Unf,1,264,124500
276,50,55,7264,Pave,1Fam,7,1925,952,2,1,0,NA,Detchd,1978,Unf,2,672,205000
277,20,129,9196,Pave,1Fam,7,2003,1560,2,0,0,NA,Attchd,2003,Fin,2,573,201000
278,20,140,19138,Pave,1Fam,4,1951,864,1,0,0,NA,Detchd,1951,Unf,2,400,141000
279,20,107,14450,Pave,1Fam,9,2006,2121,2,1,1,Ex,Attchd,2007,Fin,3,732,415298
280,60,83,10005,Pave,1Fam,7,1977,1160,2,1,1,TA,Attchd,1977,Fin,2,505,192000
281,60,82,11287,Pave,1Fam,7,1989,807,2,1,1,TA,Attchd,1989,Fin,2,575,228500
282,20,60,7200,Pave,1Fam,6,2006,1262,2,0,0,NA,Attchd,2006,Fin,2,572,185000
283,120,34,5063,Pave,Twnhs,7,2007,1314,2,0,1,Gd,Attchd,2008,RFn,2,626,207500
284,20,74,9612,Pave,1Fam,8,2008,1468,2,0,1,Gd,Attchd,2008,Fin,3,898,244600
285,120,50,8012,Pave,TwnhsE,6,1992,1575,2,0,0,NA,Attchd,1992,RFn,2,529,179200
286,160,35,4251,Pave,TwnhsE,7,2006,625,2,1,0,NA,Detchd,2006,RFn,2,528,164700
287,50,77,9786,Pave,1Fam,6,1962,912,1,1,1,Gd,Attchd,1962,RFn,2,440,159000
288,20,NA,8125,Pave,1Fam,4,1971,858,1,0,0,NA,NA,NA,NA,0,0,88000
289,20,NA,9819,Pave,1Fam,5,1967,882,1,0,0,NA,Detchd,1970,Unf,1,280,122000
290,70,60,8730,Pave,1Fam,6,1915,698,1,0,0,NA,Detchd,2003,Unf,1,384,153575
291,60,120,15611,Pave,1Fam,8,2006,1079,2,1,1,Gd,Attchd,2006,RFn,2,685,233230
292,190,55,5687,Pave,2fmCon,5,1912,780,2,0,0,NA,NA,NA,NA,0,0,135900
293,50,60,11409,Pave,1Fam,5,1949,768,1,1,1,Gd,Attchd,1949,Unf,1,281,131000
294,60,NA,16659,Pave,1Fam,7,1977,795,2,1,1,TA,Attchd,1977,Fin,2,539,235000
295,20,80,9600,Pave,1Fam,6,1953,1416,1,0,2,Gd,Attchd,1953,Fin,2,418,167000
296,80,37,7937,Pave,1Fam,6,1984,1003,1,0,0,NA,Detchd,1984,Unf,2,588,142500
297,50,75,13710,Pave,1Fam,5,1950,910,1,1,0,NA,Attchd,1950,Unf,1,282,152000
298,60,66,7399,Pave,1Fam,7,1997,975,2,1,1,TA,Detchd,1997,RFn,2,576,239000
299,60,90,11700,Pave,1Fam,6,1968,702,1,2,1,Gd,Attchd,1968,Unf,2,539,175000
300,20,80,14000,Pave,1Fam,6,1950,1092,1,0,1,Gd,Attchd,1950,Unf,1,300,158500
301,190,90,15750,Pave,2fmCon,5,1953,1165,1,0,2,Gd,Attchd,1953,Unf,1,375,157000
302,60,66,16226,Pave,1Fam,8,1998,1028,2,1,1,TA,BuiltIn,1998,Fin,2,683,267000
303,20,118,13704,Pave,1Fam,7,2001,1541,2,0,1,TA,Attchd,2001,RFn,3,843,205000
304,20,70,9800,Pave,1Fam,5,1972,894,1,0,0,NA,Attchd,1975,Unf,2,552,149900
305,75,87,18386,Pave,1Fam,7,1880,1470,3,0,1,Ex,Attchd,2003,Unf,3,870,295000
306,20,80,10386,Pave,1Fam,8,2004,2000,2,0,0,NA,Attchd,2004,Fin,3,888,305900
307,60,116,13474,Pave,1Fam,7,1990,700,2,1,1,TA,Attchd,1990,RFn,3,746,225000
308,50,NA,7920,Pave,1Fam,6,1920,319,1,0,0,NA,NA,NA,NA,0,0,89500
309,30,NA,12342,Pave,1Fam,4,1940,861,1,0,0,NA,Detchd,1961,Unf,2,539,82500
310,20,90,12378,Pave,1Fam,9,2003,1896,2,0,3,Ex,Attchd,2003,Fin,3,708,360000
311,60,NA,7685,Pave,1Fam,6,1993,697,2,1,1,TA,Attchd,1993,Fin,2,420,165600
312,20,50,8000,Pave,1Fam,6,1948,972,1,0,1,Gd,Detchd,1948,Unf,1,240,132000
313,190,65,7800,Pave,2fmCon,5,1939,793,1,0,1,Gd,Detchd,1939,Unf,2,410,119900
314,20,150,215245,Pave,1Fam,7,1965,2136,2,0,2,Gd,Attchd,1965,RFn,2,513,375000
315,70,60,9600,Pave,1Fam,7,1925,728,1,1,1,Gd,Detchd,1925,Unf,2,546,178000
316,60,71,7795,Pave,1Fam,7,2004,716,2,1,1,Gd,Attchd,2004,Fin,2,432,188500
317,60,94,13005,Pave,1Fam,7,1980,845,2,1,1,TA,Attchd,1983,RFn,2,484,260000
318,60,75,9000,Pave,1Fam,8,2006,1088,2,1,1,Gd,Attchd,2006,RFn,3,1025,270000
319,60,90,9900,Pave,1Fam,7,1993,1347,2,1,1,TA,Attchd,1993,RFn,3,656,260000
320,80,NA,14115,Pave,1Fam,7,1980,1372,2,0,2,TA,Attchd,1980,Unf,2,588,187500
321,60,111,16259,Pave,1Fam,9,2006,1249,3,1,0,NA,Attchd,2006,RFn,3,840,342643
322,60,99,12099,Pave,1Fam,8,2004,1136,2,1,1,Gd,BuiltIn,2004,Fin,3,872,354000
323,60,86,10380,Pave,1Fam,7,1986,1502,2,1,1,TA,Attchd,1987,Fin,2,576,301000
324,20,49,5820,Pave,1Fam,3,1955,1162,1,0,0,NA,Attchd,1955,Unf,1,220,126175
325,80,96,11275,Pave,1Fam,7,1967,710,2,1,1,Gd,BuiltIn,1961,Fin,2,564,242000
326,45,50,5000,Pave,1Fam,5,1941,720,1,0,0,NA,Detchd,1941,Unf,2,360,87000
327,120,32,10846,Pave,TwnhsE,8,1993,1719,1,1,2,Gd,Attchd,1993,Fin,2,473,324000
328,20,80,11600,Pave,1Fam,6,1960,1383,1,1,0,NA,Attchd,1960,RFn,1,292,145250
329,75,NA,11888,Pave,1Fam,6,1916,844,2,0,0,NA,Detchd,1930,Unf,2,441,214500
330,70,60,6402,Pave,1Fam,5,1920,596,1,0,0,NA,Detchd,1920,Unf,1,189,78000
331,90,NA,10624,Pave,Duplex,5,1964,1728,2,0,0,NA,Detchd,2002,Unf,1,352,119000
332,20,70,8176,Pave,1Fam,5,1958,1056,1,0,0,NA,Attchd,1958,RFn,1,308,139000
333,20,85,10655,Pave,1Fam,8,2003,3206,2,0,1,Gd,Attchd,2003,RFn,3,880,284000
334,120,59,8198,Pave,TwnhsE,7,2004,1358,2,0,1,Gd,Attchd,2004,RFn,2,484,207000
335,60,59,9042,Pave,1Fam,6,1998,943,2,1,2,TA,Attchd,1998,Fin,2,472,192000
336,190,NA,164660,Grvl,2fmCon,5,1965,1499,2,0,2,Gd,Attchd,1965,Fin,2,529,228950
337,20,86,14157,Pave,1Fam,9,2005,1922,2,0,1,Gd,Attchd,2005,Fin,3,676,377426
338,20,70,9135,Pave,1Fam,7,2002,1536,2,0,0,NA,Attchd,2002,RFn,2,532,214000
339,20,91,14145,Pave,1Fam,7,1984,1208,2,0,0,NA,Attchd,1984,RFn,2,440,202500
340,20,66,12400,Pave,1Fam,6,1958,1215,1,0,0,NA,Attchd,1958,Unf,1,297,155000
341,60,85,14191,Pave,1Fam,8,2002,967,2,1,0,NA,Attchd,2002,Fin,2,431,202900
342,20,60,8400,Pave,1Fam,4,1950,721,1,0,0,NA,CarPort,1950,Unf,1,294,82000
343,90,NA,8544,Pave,Duplex,3,1949,0,2,0,0,NA,Detchd,1949,Unf,2,400,87500
344,120,63,8849,Pave,TwnhsE,9,2005,1684,2,0,1,Ex,Attchd,2005,RFn,2,564,266000
345,160,36,2592,Pave,TwnhsE,5,1976,536,1,1,0,NA,Attchd,1976,Unf,1,336,85000
346,50,65,6435,Pave,1Fam,6,1939,972,1,0,1,Gd,Detchd,1939,Unf,1,312,140200
347,20,NA,12772,Pave,1Fam,6,1960,958,1,0,0,NA,Attchd,1960,RFn,1,301,151500
348,20,NA,17600,Pave,1Fam,6,1960,1478,2,0,2,Gd,Attchd,1960,Unf,2,498,157500
349,160,36,2448,Pave,Twnhs,7,2003,764,2,1,0,NA,BuiltIn,2003,RFn,2,474,154000
350,60,56,20431,Pave,1Fam,9,2005,1848,2,1,2,Ex,Attchd,2006,Fin,3,706,437154
351,120,68,7820,Pave,TwnhsE,9,2007,1869,2,0,1,Gd,Attchd,2007,RFn,2,617,318061
352,120,NA,5271,Pave,1Fam,7,1986,1453,1,1,1,TA,Attchd,1986,RFn,2,445,190000
353,50,60,9084,Pave,1Fam,5,1941,616,1,0,0,NA,Detchd,1941,Unf,1,200,95000
354,30,60,8520,Pave,1Fam,6,1928,624,1,0,0,NA,Detchd,2005,Unf,2,484,105900
355,50,60,8400,Pave,1Fam,6,1940,940,1,0,2,Gd,Attchd,1940,Unf,1,240,140000
356,20,105,11249,Pave,1Fam,6,1995,1200,2,0,0,NA,Attchd,1995,RFn,2,521,177500
357,20,NA,9248,Pave,1Fam,6,1992,1158,2,0,0,NA,Attchd,1992,RFn,2,400,173000
358,120,44,4224,Pave,TwnhsE,5,1976,1142,1,1,1,Po,Attchd,1976,Fin,2,528,134000
359,80,92,6930,Pave,1Fam,5,1958,1062,1,0,0,NA,BuiltIn,1958,Unf,1,288,130000
360,60,78,12011,Pave,1Fam,8,1998,1086,2,1,1,TA,Attchd,1998,RFn,2,592,280000
361,85,NA,7540,Pave,1Fam,6,1978,888,1,0,1,TA,Attchd,1978,RFn,2,470,156000
362,50,NA,9144,Pave,1Fam,5,1940,883,1,0,0,NA,Detchd,1940,Unf,1,240,145000
363,85,64,7301,Pave,1Fam,7,2003,0,3,0,1,Ex,BuiltIn,2003,RFn,2,672,198500
364,160,21,1680,Pave,Twnhs,6,1972,483,1,1,0,NA,Detchd,1972,Unf,1,264,118000
365,60,NA,18800,Pave,1Fam,6,1976,796,2,1,1,TA,Attchd,1976,Fin,2,566,190000
366,70,59,10690,Pave,1Fam,5,1920,672,1,0,0,NA,Detchd,1964,Unf,1,468,147000
367,20,NA,9500,Pave,1Fam,6,1963,1394,1,1,2,Gd,Attchd,1963,RFn,2,514,159000
368,80,101,9150,Pave,1Fam,6,1962,1099,1,0,1,Gd,Basment,1962,RFn,1,296,165000
369,20,78,7800,Pave,1Fam,5,1954,1268,1,0,1,Gd,Attchd,1954,Fin,1,244,132000
370,20,NA,9830,Pave,1Fam,5,1959,1063,1,0,1,Gd,Detchd,1997,Fin,2,576,162000
371,60,NA,8121,Pave,1Fam,6,2000,953,2,1,1,TA,Attchd,2000,RFn,2,460,172400
372,50,80,17120,Pave,1Fam,4,1959,0,2,0,1,Gd,Detchd,1991,Fin,2,680,134432
373,120,50,7175,Pave,TwnhsE,6,1984,744,1,0,0,NA,Attchd,1984,Unf,1,264,125000
374,20,79,10634,Pave,1Fam,5,1953,608,1,0,0,NA,Attchd,1953,Unf,1,270,123000
375,60,65,8200,Pave,1Fam,7,2003,847,2,1,1,Gd,BuiltIn,2003,Fin,2,434,219500
376,30,NA,10020,Pave,1Fam,1,1922,683,0,1,0,NA,NA,NA,NA,0,0,61000
377,85,57,8846,Pave,1Fam,5,1996,870,1,0,0,NA,Detchd,1998,Unf,2,576,148000
378,60,102,11143,Pave,1Fam,8,2004,1580,3,0,1,Gd,Attchd,2004,RFn,2,610,340000
379,20,88,11394,Pave,1Fam,9,2010,1856,1,1,1,Ex,Attchd,2010,Fin,3,834,394432
380,60,60,8123,Pave,1Fam,6,2000,982,2,1,1,TA,Attchd,2000,Fin,2,463,179000
381,50,50,5000,Pave,1Fam,5,1924,1026,2,0,1,Gd,Detchd,1924,Unf,1,308,127000
382,20,60,7200,Pave,1Fam,7,2006,1293,2,0,1,Gd,Attchd,2006,RFn,2,572,187750
383,60,79,9245,Pave,1Fam,7,2006,939,2,1,0,NA,Attchd,2006,RFn,2,639,213500
384,45,60,9000,Pave,1Fam,6,1928,784,1,0,0,NA,Detchd,1950,Unf,2,360,76000
385,60,NA,53107,Pave,1Fam,6,1992,1580,2,1,2,Fa,Attchd,1992,Fin,2,501,240000
386,120,43,3182,Pave,TwnhsE,8,2004,1256,2,0,1,TA,Attchd,2004,Fin,2,430,192000
387,50,58,8410,Pave,1Fam,5,1910,658,1,0,0,NA,NA,NA,NA,0,0,81000
388,80,72,7200,Pave,1Fam,6,1976,1041,1,0,1,Fa,Detchd,1977,Unf,1,352,125000
389,20,93,9382,Pave,1Fam,7,1999,1468,2,0,0,NA,Attchd,1999,RFn,2,577,191000
390,60,96,12474,Pave,1Fam,10,2007,1682,2,1,1,Ex,BuiltIn,2008,Fin,3,846,426000
391,50,50,8405,Pave,1Fam,5,1900,861,1,0,0,NA,Detchd,1978,Unf,1,384,119000
392,60,71,12209,Pave,1Fam,6,2001,804,2,1,1,TA,BuiltIn,2001,Fin,2,560,215000
393,20,NA,8339,Pave,1Fam,5,1959,0,1,0,0,NA,Attchd,1959,RFn,1,294,106500
394,30,NA,7446,Pave,1Fam,4,1941,788,1,0,2,TA,NA,NA,NA,0,0,100000
395,50,60,10134,Pave,1Fam,5,1940,735,1,0,0,NA,Detchd,1940,Unf,1,240,109000
396,20,68,9571,Pave,1Fam,5,1956,1144,1,0,0,NA,Attchd,1956,Unf,1,596,129000
397,20,60,7200,Pave,1Fam,5,1972,894,1,0,0,NA,Detchd,1985,RFn,2,600,123000
398,60,69,7590,Pave,1Fam,5,1962,864,2,0,1,TA,Attchd,1962,RFn,1,264,169500
399,30,60,8967,Pave,1Fam,5,1920,961,1,0,0,NA,Detchd,1920,Unf,1,338,67000
400,60,65,8125,Pave,1Fam,7,2006,1092,2,0,0,NA,Attchd,2007,Fin,2,438,241000
401,120,38,14963,Pave,TwnhsE,8,1996,1260,1,1,2,Gd,Attchd,1996,Fin,2,500,245500
402,20,65,8767,Pave,1Fam,7,2005,1310,2,0,1,Gd,Attchd,2005,Fin,2,400,164990
403,30,60,10200,Pave,1Fam,5,1940,672,1,0,0,NA,Detchd,1940,Unf,1,240,108000
404,60,93,12090,Pave,1Fam,8,1998,1141,2,1,1,TA,BuiltIn,1998,Fin,2,420,258000
405,60,NA,10364,Pave,1Fam,6,1995,806,2,1,1,TA,BuiltIn,1995,Fin,2,373,168000
406,20,NA,9991,Pave,1Fam,4,1976,1281,2,0,1,TA,Attchd,1993,Unf,2,490,150000
407,50,51,10480,Pave,1Fam,6,1936,1064,1,0,0,NA,Detchd,1936,Unf,1,240,115000
408,70,63,15576,Pave,1Fam,6,1915,840,2,0,0,NA,Attchd,1960,Unf,1,308,177000
409,60,109,14154,Pave,1Fam,7,2006,1063,2,1,1,Gd,Attchd,2006,RFn,3,947,280000
410,60,85,10800,Pave,1Fam,8,2007,1034,2,1,1,Gd,Attchd,2008,Fin,3,836,339750
411,20,68,9571,Pave,1Fam,5,1958,1276,1,0,0,NA,Attchd,1958,Unf,1,350,60000
412,190,100,34650,Pave,2fmCon,5,1955,1056,1,0,0,NA,Attchd,1955,Fin,2,572,145000
413,20,NA,4403,Pave,1Fam,7,2009,1470,2,1,1,Gd,Attchd,2009,Fin,2,484,222000
414,30,56,8960,Pave,1Fam,5,1927,1008,1,0,1,Gd,Detchd,1927,Unf,2,360,115000
415,60,59,11228,Pave,1Fam,7,1993,1080,2,1,1,TA,Attchd,1993,Unf,3,678,228000
416,20,73,8899,Pave,1Fam,7,2007,1340,2,0,0,NA,Attchd,2007,Fin,2,396,181134
417,60,74,7844,Pave,1Fam,6,1978,672,1,1,1,TA,Attchd,1978,Fin,2,440,149500
418,70,86,22420,Pave,1Fam,6,1918,1370,2,1,1,Gd,Detchd,1918,Unf,3,864,239000
419,50,60,8160,Pave,1Fam,5,1940,756,1,1,0,NA,Detchd,1940,Unf,1,240,126000
420,20,65,8450,Pave,1Fam,5,1968,1056,1,0,1,Fa,Attchd,1968,Unf,1,304,142000
421,90,78,7060,Pave,Duplex,7,1997,1344,2,0,0,NA,Attchd,1997,Fin,4,784,206300
422,20,NA,16635,Pave,1Fam,6,1977,1602,2,0,1,TA,Attchd,1977,Fin,2,529,215000
423,20,100,21750,Pave,1Fam,5,1954,988,1,0,0,NA,Attchd,1954,RFn,2,520,113000
424,60,80,9200,Pave,1Fam,8,1998,1470,2,1,1,TA,Attchd,1998,Fin,3,696,315000
425,20,72,9000,Pave,1Fam,6,1956,1196,1,0,1,Gd,Attchd,1956,RFn,1,297,139000
426,60,60,3378,Pave,1Fam,7,1946,651,1,1,2,Gd,Detchd,1947,Unf,1,240,135000
427,80,NA,12800,Pave,1Fam,7,1989,1518,2,0,1,TA,Attchd,1989,Fin,2,569,275000
428,20,77,8593,Pave,1Fam,4,1957,907,1,0,0,NA,Detchd,1964,Unf,1,352,109008
429,20,64,6762,Pave,1Fam,7,2007,1208,2,0,0,NA,Attchd,2007,RFn,2,628,195400
430,20,130,11457,Pave,1Fam,6,1988,1392,2,0,1,TA,Attchd,1988,Unf,2,576,175000
431,160,21,1680,Pave,Twnhs,6,1971,483,1,1,0,NA,Detchd,1971,Unf,1,264,85400
432,50,60,5586,Pave,1Fam,6,1920,901,1,0,0,NA,NA,NA,NA,0,0,79900
433,160,24,1920,Pave,TwnhsE,5,1971,765,1,1,0,NA,Detchd,1971,Unf,2,440,122500
434,60,100,10839,Pave,1Fam,6,1997,926,2,1,1,TA,Attchd,1997,Fin,2,470,181000
435,180,21,1890,Pave,Twnhs,4,1972,630,1,0,0,NA,NA,NA,NA,0,0,81000
436,60,43,10667,Pave,1Fam,7,1996,799,2,1,1,TA,Attchd,1996,RFn,2,550,212000
437,50,40,4400,Pave,1Fam,6,1920,648,1,0,0,NA,Detchd,1990,Unf,2,440,116000
438,45,50,6000,Pave,1Fam,6,1926,884,1,0,0,NA,Detchd,1926,Unf,1,180,119000
439,30,40,4280,Pave,1Fam,5,1913,440,1,0,1,Gd,Detchd,1990,Unf,1,352,90350
440,50,67,12354,Pave,1Fam,6,1920,684,1,0,0,NA,Detchd,2005,Unf,2,528,110000
441,20,105,15431,Pave,1Fam,10,2008,3094,2,0,2,Gd,Attchd,2008,Fin,3,672,555000
442,90,92,12108,Pave,Duplex,4,1955,1440,2,0,0,NA,NA,NA,NA,0,0,118000
443,50,52,6240,Pave,1Fam,5,1930,1078,2,0,1,Gd,Detchd,1930,Unf,2,360,162900
444,120,53,3922,Pave,TwnhsE,7,2006,1258,2,0,1,Gd,Attchd,2007,Fin,3,648,172500
445,60,70,8750,Pave,1Fam,7,1994,915,2,1,1,TA,Attchd,1994,Unf,2,493,210000
446,20,73,9855,Pave,1Fam,6,1956,1436,1,0,1,Gd,Attchd,1956,Unf,2,480,127500
447,20,137,16492,Pave,1Fam,6,1966,1517,2,1,1,Gd,Attchd,1966,Fin,2,578,190000
448,60,NA,11214,Pave,1Fam,7,1998,930,2,1,1,TA,Attchd,1998,Fin,2,431,199900
449,50,50,8600,Pave,1Fam,6,1937,780,2,0,1,Gd,Detchd,1937,Unf,1,198,119500
450,50,50,6000,Pave,1Fam,3,1948,649,1,1,0,NA,Detchd,1981,Unf,1,308,120000
451,30,70,5684,Pave,1Fam,6,1930,813,1,0,0,NA,Detchd,1932,Unf,1,270,110000
452,20,62,70761,Pave,1Fam,7,1975,1533,2,0,2,TA,Attchd,1975,Unf,2,576,280000
453,60,NA,9303,Pave,1Fam,6,1996,872,2,1,0,NA,Attchd,1996,Fin,2,422,204000
454,60,75,9000,Pave,1Fam,8,2008,768,2,1,0,NA,Attchd,2008,RFn,2,676,210000
455,90,63,9297,Pave,Duplex,5,1976,1728,2,0,0,NA,Detchd,1976,Unf,2,560,188000
456,20,80,9600,Pave,1Fam,7,1973,1242,1,1,1,TA,Attchd,1973,Unf,2,528,175500
457,70,34,4571,Pave,1Fam,5,1916,624,1,0,0,NA,Detchd,1916,Unf,3,513,98000
458,20,NA,53227,Pave,1Fam,4,1954,1364,1,0,2,Gd,Attchd,1954,Fin,2,529,256000
459,70,NA,5100,Pave,1Fam,8,1925,588,1,0,1,Gd,Detchd,1925,Unf,1,228,161000
460,50,NA,7015,Pave,1Fam,5,1950,709,1,0,1,TA,Detchd,1950,Unf,1,352,110000
461,60,75,8004,Pave,1Fam,8,2009,832,2,1,0,NA,BuiltIn,2009,Fin,2,552,263435
462,70,60,7200,Pave,1Fam,7,1936,560,1,0,0,NA,Detchd,1971,RFn,2,576,155000
463,20,60,8281,Pave,1Fam,5,1965,864,1,0,1,Po,Detchd,1965,Unf,1,360,62383
464,70,74,11988,Pave,1Fam,6,1934,715,1,1,1,Gd,Detchd,1939,Unf,1,240,188700
465,20,60,8430,Pave,1Fam,5,1978,1040,2,0,0,NA,NA,NA,NA,0,0,124000
466,120,NA,3072,Pave,TwnhsE,7,2004,1375,2,0,1,TA,Attchd,2004,Fin,2,398,178740
467,20,85,10628,Pave,1Fam,7,1970,1277,1,0,1,Po,Attchd,1970,Unf,2,526,167000
468,70,79,9480,Pave,1Fam,5,1942,728,1,1,2,Gd,Attchd,1942,Unf,1,312,146500
469,20,98,11428,Pave,1Fam,8,2006,1626,2,0,1,Gd,Attchd,2006,RFn,3,866,250000
470,60,76,9291,Pave,1Fam,6,1993,832,2,1,0,NA,Attchd,1993,RFn,2,506,187000
471,120,NA,6820,Pave,TwnhsE,8,1985,1488,1,1,0,NA,Attchd,1985,RFn,2,528,212000
472,60,92,11952,Pave,1Fam,7,1977,808,2,1,1,Gd,Attchd,1977,RFn,2,534,190000
473,180,35,3675,Pave,TwnhsE,6,2005,547,1,0,0,NA,Basment,2005,RFn,2,525,148000
474,20,110,14977,Pave,1Fam,8,2006,1976,2,0,1,Ex,Attchd,2006,RFn,3,908,440000
475,120,41,5330,Pave,TwnhsE,8,2000,1494,2,0,0,NA,Attchd,2000,RFn,2,499,251000
476,20,80,8480,Pave,1Fam,5,1963,970,1,0,0,NA,Detchd,1996,Unf,2,624,132500
477,20,75,13125,Pave,1Fam,6,1997,1478,2,0,1,TA,Attchd,1997,Fin,2,508,208900
478,60,105,13693,Pave,1Fam,9,2006,2153,2,1,1,Gd,BuiltIn,2006,Fin,3,694,380000
479,20,79,10637,Pave,1Fam,8,2007,1705,2,0,1,Gd,Attchd,2007,RFn,3,826,297000
480,30,50,5925,Pave,1Fam,4,1937,907,1,0,0,NA,Detchd,1995,Unf,2,672,89471
481,20,98,16033,Pave,1Fam,9,2004,1833,2,0,1,Gd,Attchd,2004,Fin,3,772,326000
482,20,72,11846,Pave,1Fam,9,2003,1792,2,0,1,Gd,Attchd,2003,Fin,3,874,374000
483,70,50,2500,Pave,1Fam,7,1915,910,1,1,1,Gd,Attchd,1915,Unf,1,164,155000
484,120,32,4500,Pave,Twnhs,6,1998,1216,2,0,0,NA,Attchd,1998,Unf,2,402,164000
485,20,NA,7758,Pave,1Fam,5,1962,999,1,0,0,NA,Detchd,1963,Unf,1,264,132500
486,20,80,9600,Pave,1Fam,5,1950,1113,1,0,1,Gd,Attchd,1950,Unf,1,264,147000
487,20,79,10289,Pave,1Fam,5,1965,1073,1,1,0,NA,Attchd,1965,RFn,2,515,156000
488,20,70,12243,Pave,1Fam,5,1971,1484,2,0,1,TA,Attchd,1971,Unf,2,487,175000
489,190,60,10800,Pave,2fmCon,5,1900,954,2,0,1,Gd,Attchd,1970,Unf,2,520,160000
490,180,21,1526,Pave,Twnhs,4,1970,630,1,0,0,NA,Attchd,1970,Unf,1,286,86000
491,160,NA,2665,Pave,TwnhsE,5,1976,264,1,1,1,Gd,BuiltIn,1976,Fin,1,336,115000
492,50,79,9490,Pave,1Fam,6,1941,806,1,0,2,TA,Attchd,1941,Unf,1,240,133000
493,60,105,15578,Pave,1Fam,6,2006,728,2,1,0,NA,Attchd,2006,RFn,2,429,172785
494,20,70,7931,Pave,1Fam,5,1960,1269,1,1,1,Fa,Detchd,1964,Unf,1,308,155000
495,30,50,5784,Pave,1Fam,5,1938,190,1,0,0,NA,Attchd,1938,Unf,1,273,91300
496,30,60,7879,Pave,1Fam,4,1920,720,1,0,0,NA,NA,NA,NA,0,0,34900
497,20,NA,12692,Pave,1Fam,8,1992,3200,3,0,1,Gd,Attchd,1992,RFn,2,546,430000
498,50,60,9120,Pave,1Fam,7,1925,1026,2,0,0,NA,Detchd,1925,Unf,1,240,184000
499,20,65,7800,Pave,1Fam,5,1967,864,1,0,0,NA,Attchd,1967,Fin,1,288,130000
500,20,70,7535,Pave,1Fam,5,1958,912,1,0,0,NA,Attchd,1958,Fin,1,297,120000
501,160,21,1890,Pave,Twnhs,6,1973,672,1,1,0,NA,Detchd,1973,Unf,1,264,113000
502,60,75,9803,Pave,1Fam,7,2005,866,2,1,0,NA,Attchd,2005,RFn,2,603,226700
503,20,70,9170,Pave,1Fam,5,1965,1214,1,0,0,NA,Detchd,1965,Unf,2,461,140000
504,20,100,15602,Pave,1Fam,7,1959,1501,2,0,2,TA,Attchd,1959,Fin,2,484,289000
505,160,24,2308,Pave,TwnhsE,6,1974,855,2,1,1,Fa,Attchd,1974,Unf,2,440,147000
506,90,60,7596,Pave,Duplex,5,1952,960,2,0,0,NA,Detchd,1952,Unf,2,400,124500
507,60,80,9554,Pave,1Fam,8,1993,777,2,1,1,TA,Attchd,1993,RFn,2,471,215000
508,20,75,7862,Pave,1Fam,6,2009,1218,2,0,0,NA,Attchd,2009,Fin,2,676,208300
509,70,60,9600,Pave,1Fam,7,1928,689,2,0,1,Gd,Detchd,1928,Unf,2,360,161000
510,20,80,9600,Pave,1Fam,5,1959,1041,1,0,0,NA,Attchd,1959,RFn,1,270,124500
